,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karis,Jordan Marvel,,13 Fighter/7 Oracle,Updated on turn:,26,Description: ,Messianic Tribal Monarchy - CN,,,Current Turn,40,Winter,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stat,Rating,+/-,Notes,Advisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Politics,5,,5 Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,3,,Population: ,,,Society & Espionage Questions,,,,Orders to Vassals,,,,,,,,,,,,,,,,,,,,,,,,,,
Military,4,(+1),,,,(See Player sheet),,,,Nation,Order,,,,,,,,,,,,,,,,,,,,,,,,,
Economics,2,,,,,,,,,,See Player sheet for orders,,,,,,,,,,,,,,,,,,,,,,,,,
Society ,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espionage,3,,,Theft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Religion,4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology,2,,,Civil Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army ,3,,,Raiding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navy,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Previous Total moved here to make room for calculated total below,,,,
Air Force,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Progress,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,
Base Income,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade,16,,,,Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,
Maintenance,-6,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towns,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Committed Resources,,,,,,,,,,,,,,,,,,,,,,,,
Sentient Creatures,nightmares (Dominated),,,,,,,,,,,,,,Projects,,,,,,,,,,,,,,,Unfinished Only,,,,,,
,,,,,,,,,,,,,,,devolp deathston,Heal the land,,,,,,,,,Name,Effect,Cost (g),Resource(s),(O)ngoing (U)nfinished (S)uspended,Initial Result,Progress Per Turn,Total Needed,Total Progress,Turn Started,Progress Meter (Calculated),Progress Bar (Calculated)
,,,Name,Type,Tier,Natively Produced,Trade,Committed,Not Used,Total,Name,Espionage,Maintenance,Military,Project A,Project B,Project C,Project D,Project E,Project F,Project G,Project H,,Project A,devolp deathston,have deathstone,1,"1 crops, 1 Gold, 2 Riding animals ",U,10,6,60,40,35,40/60,
,,,Adamant,Strat,3,,,,,0,Adamant,,,,,,,,,,,,,Project B,Heal the land,bring plant life,1,"1 Direcrop, 1 Gold, 2 Copper, 1 Ironwood",U,25,11,200,135,30,135/200,
,,,Baubles,Lux,2,,0,,,0,Baubles,,,,,,,,,,,,,Project C,,,,,,,,,0,,0/,#VALUE!
,,,Beer,Lux,1,,,,,0,Beer,,,,,,,,,,,,,Project D,,,,,,,,,0,,0/,#VALUE!
,,,Bloodstone,Strat,2,,,,,0,Bloodstone,,,,,,,,,,,,,Project E,,,,,,,,,0,,0/,#VALUE!
,,,Brass,Lux/Strat,2,,,,,0,Brass,,,,,,,,,,,,,Project F,,,,,,,,,0,,0/,#VALUE!
,,,Bronze,Lux/Strat,2,,,,,0,Bronze,,,,,,,,,,,,,Project G,,,,,,,,,0,,0/,#VALUE!
,,,Cheese,Food,1,,,,,0,Cheese,,,,,,,,,,,,,Project H,,,,,,,,,0,,0/,#VALUE!
,,,Cinnabar,Lux,2,,,,,0,Cinnabar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coal,Lux,2,,,,,0,Coal,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cocoa,Lux,2,,,,,0,Cocoa,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coffee,Lux,2,,,,,0,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cold Iron,Strat,2,,,,,0,Cold Iron,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Copper,Lux/Strat,1,1,,,,1,Copper,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coral,Lux,1,,,,,0,Coral,,,,,,,,,,,,,,,Total,2,,,,,,,,,
,,,Crops,Food,1,1,1,-3,,-1,Crops,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cursed Stone,Strat,2,,,,,0,Cursed Stone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cursed Wood,Strat,2,,,,,0,Cursed Wood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Darkwood,Strat,2,,,,,0,Darkwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Deathstone,Lux,3,1,,,-1,0,Deathstone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Diamonds,Lux,3,,,,,0,Diamonds,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dire Crops,Food,2,,1,,,1,Dire Crops,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dyes,Lux,2,,,,,0,Dyes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eternium,Lux/Strat,3,,,,,0,Eternium,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Faerzess,Lux/Strat,3,,,,,0,Faerzess,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fine Clothes,Lux,2,,,,,0,Fine Clothes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fruit,Food,1,,,,,0,Fruit,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fur,Lux,1,,,,,0,Fur,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Game (Hunting),Food,1,4,,,,4,Game (Hunting),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gems,Lux,2,,,,,0,Gems,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Glass,Lux,2,,,,,0,Glass,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gold,Lux,3,1,,-1,,0,Gold,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Greenwood,Strat,1,,,,,0,Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gunpowder,Strat,3,,,,,0,Gunpowder,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hardwood,Strat,1,,,,,0,Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Healing Potions,Strat,2,,,,,0,Healing Potions,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Herbs,Lux,1,,,,,0,Herbs,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Holystone,Lux,3,,,,,0,Holystone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Honey,Food,2,,,,,0,Honey,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iced Cream,Food/Lux,2,,,,,0,Iced Cream,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Incense,Lux,1,2,,,,2,Incense,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iron,Strat,1,1,,,,1,Iron,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ironwood,Strat,2,,1,,,1,Ironwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ivory,Lux,2,,,,,0,Ivory,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jewelry,Lux,3,,,,,0,Jewelry,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lead,Lux,1,,,,,0,Lead,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Linite,Lux,2,1,,,,1,Linite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Livestock,Food,1,4,,,-2,2,Livestock,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lumber,None,0,,,,,0,Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marble,Lux,1,,,,,0,Marble,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Medicine,Lux,2,,,,,0,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mithral,Lux/Strat,3,,,,,0,Mithral,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Narcotics,Lux,2,,,,,0,Narcotics,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Olives,Food,1,,,,,0,Olives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Onyx,Strat,2,,,,,0,Onyx,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Oricalculum,Lux/Strat,3,1,,,,1,Oricalculum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Paper,Lux,2,,,,,0,Paper,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Parchment,Lux,1,,,,,0,Parchment,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pearl,Lux ,2,,,,,0,Pearl,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Peat,Lux,1,,,,,0,Peat,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Phlogiston
(Helium)",Strat,3,,,,,0,"Phlogiston
(Helium)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Poison,Strat,2,,,,,0,Poison,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Porcelain,Lux,2,,,,,0,Porcelain,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Residuum,Lux,2,2,-2,,,0,Residuum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riding Animals (Advanced),Strat/Food,2,,,,,0,Riding Animals (Advanced),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riding Animals (Basic),Strat/Food,1,2,,-2,,0,Riding Animals (Basic),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Salt,Lux,2,1,,-1,,0,Salt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Scrolls,Strat,2,,,,,0,Scrolls,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seafood,Food,1,,,,,0,Seafood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Silk,Lux,2,,,,,0,Silk,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Silver,Lux,2,,,,,0,Silver,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Slaves,Lux/Strat,1,,,,,0,Slaves,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spices,Lux,2,,,,,0,Spices,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spirits,Lux,2,,,,,0,Spirits,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Starwood,Strat,3,,,,,0,Starwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Steel,Strat,2,,,,,0,Steel,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stone,None,0,1,,,,1,Stone,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sugar,Lux,2,,,,,0,Sugar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Textiles,Lux,1,1,,,,1,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tin,Strat,1,,,,,0,Tin,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tobacco,Lux,1,,,,,0,Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Truffles,Lux,3,,,,,0,Truffles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Waterwood,Lux/Strat,2,,,,,0,Waterwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wax,Lux,1,,,,,0,Wax,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Whales,Lux/Food,3,,,,,0,Whales,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Whipwood,Strat,1,,,,,0,Whipwood,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wine,Lux,2,,,,,0,Wine,,,,,,,,,,,,,,,,,,,,,,,,,
,,,World Tree,Food/Lux/Strat,2,,,,,0,World Tree,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Darkwood Bows,Strat,2,,,,,0,Darkwood Bows,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Purification Substance,Strat,2,,,,,0,Purification Substance,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Magma Linite,Lux,3,1,,-1,,0,Magma Linite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Elite Slaves,Lux/Strat,2,,,,,0,Elite Slaves,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Refined Residuum,Lux,3,,,,,0,Refined Residuum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wishes/Miracles,Lux/Strat,3,,,,,0,Wishes/Miracles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Glacial Linite,Lux,3,,,,,0,Glacial Linite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Incense of Transcendence,strat,3,,,,,0,Incense of Transcendence,,,,,,,,,,,,,,,,,,,,,,,,,
,,,tainted Pillar,strat,3,,,,,0,tainted Pillar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Committed in Detail,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,Type,Tier,Natively Produced,Trade,Committed,Not Developed,Available,Name,Espionage,Maintenance,Military,devolp deathston,Heal the land,,,,,,,,,,,,,,,,,,,,
,,,Copper,Lux/Strat,1,1,,,,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Crops,Food,1,1,1,-3,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Deathstone,Lux,3,1,,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dire Crops,Food,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Game (Hunting),Food,1,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gold,Lux,3,1,,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Incense,Lux,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iron,Strat,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ironwood,Strat,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Linite,Lux,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Livestock,Food,1,4,,,-2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Oricalculum,Lux/Strat,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Residuum,Lux,2,2,-2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riding Animals (Basic),Strat/Food,1,2,,-2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Salt,Lux,2,1,,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stone,None,0,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Textiles,Lux,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Magma Linite,Lux,3,1,,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,,,,,,,,Negative,,,,,,,,,,,,,Manually enter above when done.,,,,,,,,,,,,,,,
Action 1,,,,,,,,Action 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,,,,,,,,,,,,,,,,,,,,
,Society ,,Economics,,,,,,Society ,,Army ,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,2,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action 2,,,,,,,,Action 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,,,,,,,,,,,,,,,,,,,,
,Society ,,Army ,,,,,,Society ,,Army ,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,2,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action 3,,,,,,,,Action 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,,,,,,,,,,,,,,,,,,,,
,Society ,,Army ,,,,,,Society ,,Army ,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,2,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,